"","Sensor","Date_Time","Date","Time","Count"
"258","Flinders Street Station Underpass",2017-07-01 04:00:00,2017-07-01,4,157
"259","Birrarung Marr",2017-07-01 04:00:00,2017-07-01,4,25
"260","Webb Bridge",2017-07-01 04:00:00,2017-07-01,4,9
"261","Southern Cross Station",2017-07-01 04:00:00,2017-07-01,4,13
"262","Victoria Point",2017-07-01 04:00:00,2017-07-01,4,6
"263","Waterfront City",2017-07-01 04:00:00,2017-07-01,4,0
"264","New Quay",2017-07-01 04:00:00,2017-07-01,4,9
"265","Flagstaff Station",2017-07-01 04:00:00,2017-07-01,4,0
"266","Sandridge Bridge",2017-07-01 04:00:00,2017-07-01,4,67
"267","State Library",2017-07-01 04:00:00,2017-07-01,4,35
"268","Collins St (North)",2017-07-01 04:00:00,2017-07-01,4,19
"269","Collins Place (South)",2017-07-01 04:00:00,2017-07-01,4,16
"270","Collins Place (North)",2017-07-01 04:00:00,2017-07-01,4,6
"271","Chinatown-Swanston St (North)",2017-07-01 04:00:00,2017-07-01,4,90
"272","Chinatown-Lt Bourke St (South)",2017-07-01 04:00:00,2017-07-01,4,44
"273","Bourke St-Russell St (West)",2017-07-01 04:00:00,2017-07-01,4,223
"274","Flinders St-Elizabeth St (East)",2017-07-01 04:00:00,2017-07-01,4,215
"275","Spencer St-Collins St (South)",2017-07-01 04:00:00,2017-07-01,4,25
"276","Spencer St-Collins St (North)",2017-07-01 04:00:00,2017-07-01,4,59
"277","Melbourne Convention Exhibition Centre",2017-07-01 04:00:00,2017-07-01,4,19
"278","QV Market-Elizabeth St (West)",2017-07-01 04:00:00,2017-07-01,4,58
"279","QV Market-Peel St",2017-07-01 04:00:00,2017-07-01,4,14
"280","The Arts Centre",2017-07-01 04:00:00,2017-07-01,4,42
"281","St Kilda Rd-Alexandra Gardens",2017-07-01 04:00:00,2017-07-01,4,19
"282","Lonsdale St (South)",2017-07-01 04:00:00,2017-07-01,4,92
"283","Lygon St (West)",2017-07-01 04:00:00,2017-07-01,4,24
"284","City Square",2017-07-01 04:00:00,2017-07-01,4,NA
"285","Flinders St-Spring St (West)",2017-07-01 04:00:00,2017-07-01,4,9
"286","Flinders St-Spark La",2017-07-01 04:00:00,2017-07-01,4,5
"287","Southbank",2017-07-01 04:00:00,2017-07-01,4,49
"288","Queen St (West)",2017-07-01 04:00:00,2017-07-01,4,20
"289","Lygon St (East)",2017-07-01 04:00:00,2017-07-01,4,9
"290","Alfred Place",2017-07-01 04:00:00,2017-07-01,4,14
"291","Lonsdale St-Spring St (West)",2017-07-01 04:00:00,2017-07-01,4,0
"292","Grattan St-Swanston St (West)",2017-07-01 04:00:00,2017-07-01,4,5
"293","Monash Rd-Swanston St (West)",2017-07-01 04:00:00,2017-07-01,4,1
"294","Tin Alley-Swanston St (West)",2017-07-01 04:00:00,2017-07-01,4,4
"295","Little Collins St-Swanston St (East)",2017-07-01 04:00:00,2017-07-01,4,89
"296","Flinders La-Swanston St (West)",2017-07-01 04:00:00,2017-07-01,4,268
"297","Pelham St (South)",2017-07-01 04:00:00,2017-07-01,4,NA
"298","Melbourne Central-Elizabeth St (East)",2017-07-01 04:00:00,2017-07-01,4,NA
"299","QVM-Queen St (East)",2017-07-01 04:00:00,2017-07-01,4,NA
"300","QVM-Therry St (South)",2017-07-01 04:00:00,2017-07-01,4,NA
